analysisWdid,analysisStructure,priorityWdid,priorityStructure,sum_wtd_count
3603575,CLINTON GULCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,1047.0
3603694,ARAPAHOE BASIN SNOWMAKING RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,695.0
3603583,HEIT RANCH RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,695.0
3603624,SWAN RIVER WATER SYSTEM PONDS,3603543,GREEN MOUNTAIN RESERVOIR,686.0
3604923,CLIMAX INTEGRATED WATER SYSTEM,3603543,GREEN MOUNTAIN RESERVOIR,686.0
3600671,INDEPENDENT BLUE DITCH,3603543,GREEN MOUNTAIN RESERVOIR,686.0
3600649,HAMILTON DAVIDSON DITCH,3603543,GREEN MOUNTAIN RESERVOIR,686.0
3603656,YOSUICHI RESERVOIR,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603688,TRENT PARK POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603539,BEARDSLEY NO 1 POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603701,TRIPLE CREEK POND NO 7,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603700,TRIPLE CREEK POND NO 6,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603699,TRIPLE CREEK POND NO 5,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603698,TRIPLE CREEK POND NO 4,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603657,SANDERS POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603693,MELODY LODGE POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603673,COUNIHAN POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603691,BENSON RANCH POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603690,BROOKS SNIDER POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603685,WINEGARD POND 3,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603686,WINEGARD POND 4,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603655,BARBER POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603684,WINEGARD POND 2,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3607293,TOWN OF BRECKENRIDGE WHITEWATER PARK,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603680,HOUSE POND 1,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603679,PUMP POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603678,SOUTH POND,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603644,DUNHAM POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603645,DUNHAM POND NO 2,3603543,GREEN MOUNTAIN RESERVOIR,352.0
3603651,FAUSEL POND NO 1,3603543,GREEN MOUNTAIN RESERVOIR,352.0
