stationNum,siteId,stationName,dataSource,division,waterDistrict,county,state,utmX,utmY,latitude,longitude,locationAccuracy,measType,porStart,porEnd,porLastModified,measUnit,lines
56,USC00052121,DE BEQUE,NOAA,5,70,MESA ,CO,222745.6,4358703.4,39.333332,-108.216676,User supplied,Evap,5/6/52,6/30/54,2013-03-29T15:42:05.6630000,in,785
133,USW00023066,GRAND JUNCTION WALKER FIELD,NOAA,5,72,MESA ,CO,194005.1,4337639.4,39.134203,-108.540012,User supplied,Evap,8/1/48,10/31/60,2013-03-29T15:42:05.6630000,in,4474
134,USC00053489,GRAND JUNCTION 6 ESE,NOAA,5,72,MESA ,CO,199987.2,4327179.8,39.042208,-108.466314,User supplied,Evap,3/27/62,10/23/20,2020-12-16T01:06:07.9700000,in,21395
136,USC00053500,GRAND LAKE 6 SSW,NOAA,5,51,GRAND ,CO,426226.7,4448639.6,40.18491,-105.866607,User supplied,Evap,8/2/49,10/30/20,2020-12-16T01:06:47.0030000,in,26022
147,USC00053592,GREEN MT DAM,NOAA,5,36,SUMMIT ,CO,385987.3,4415167.1,39.878906,-106.333314,User supplied,Evap,7/1/48,9/30/78,2013-08-08T07:36:39.2700000,in,11048
244,USC00055507,MEREDITH,NOAA,5,38,PITKIN ,CO,349906.8,4358385.8,39.361908,-106.742208,User supplied,Evap,6/12/68,7/21/07,2015-02-10T11:36:20.1830000,in,14283
35,USC00051741,COLLBRAN,NOAA,5,72,MESA ,CO,244278.6,4347872.7,39.242509,-107.963066,User supplied,MaxTemp,10/23/00,12/31/99,2013-10-11T14:22:03.6930000,degF,36228
36,USC00051745,COLLBRAN 3 ENE,NOAA,5,72,MESA ,CO,246871.8,4348621.6,39.25001,-107.933339,User supplied,MaxTemp,1/10/68,1/31/70,2013-03-29T15:42:35.2400000,degF,752
37,USC00051772,COLORADO NATL MONUMENT,NOAA,5,72,MESA ,CO,177098.1,4334659,39.101306,-108.733812,User supplied,MaxTemp,3/1/40,11/17/20,2020-12-16T00:52:15.9000000,degF,29481
56,USC00052121,DE BEQUE,NOAA,5,70,MESA ,CO,222745.6,4358703.4,39.333332,-108.216676,User supplied,MaxTemp,12/1/51,6/30/54,2013-03-29T15:42:35.2400000,degF,942
57,USC00050214,ALTENBERN,NOAA,5,70,GARFIELD ,CO,209278,4377635,39.499206,-108.380907,User supplied,MaxTemp,9/9/58,11/12/20,2020-11-15T23:28:21.1470000,degF,22710
66,USC00052281,DILLON 1 E,NOAA,5,36,SUMMIT ,CO,411146,4386771.3,39.626103,-106.035311,,MaxTemp,5/5/10,12/13/20,2020-12-16T00:56:27.5270000,degF,40400
74,USW00023063,EAGLE COUNTY AP,NOAA,5,37,EAGLE ,CO,335555.6,4390667.3,39.650004,-106.916676,User supplied,MaxTemp,7/1/04,8/31/17,2018-05-14T03:18:02.7070000,degF,41334
115,USC00053113,FRASER,NOAA,5,51,GRAND ,CO,428814.9,4422540.2,39.950005,-105.833339,User supplied,MaxTemp,12/1/09,6/17/74,2013-03-29T15:42:35.2400000,degF,23574
116,USC00053116,FRASER,NOAA,5,51,GRAND ,CO,430185.2,4421695,39.942507,-105.817212,User supplied,MaxTemp,5/1/89,12/7/20,2020-12-16T01:02:40.2400000,degF,11543
118,USC00053146,FRUITA 1 W,NOAA,5,72,MESA ,CO,177797,4339433,39.144493,-108.72801,User supplied,MaxTemp,1893-01-01,11/8/20,2020-12-16T01:03:07.0700000,degF,46690
127,USC00053359,GLENWOOD SPGS #2,NOAA,5,38,GARFIELD ,CO,300810.4,4376826,39.518006,-107.317215,User supplied,MaxTemp,1893-09-01,8/31/20,2020-11-15T23:50:03.6530000,degF,46690
128,USC00053423,GORE PASS RANCH,NOAA,5,50,GRAND ,CO,375077.5,4445437,40.150006,-106.466675,User supplied,MaxTemp,6/7/57,12/30/63,2013-03-29T15:42:35.2400000,degF,2397
133,USW00023066,GRAND JUNCTION WALKER FIELD,NOAA,5,72,MESA ,CO,194005.1,4337639.4,39.134203,-108.540012,User supplied,MaxTemp,1/1/00,12/9/20,2020-12-16T02:30:31.2100000,degF,44173
134,USC00053489,GRAND JUNCTION 6 ESE,NOAA,5,72,MESA ,CO,199987.2,4327179.8,39.042208,-108.466314,User supplied,MaxTemp,3/27/62,12/11/20,2020-12-16T01:06:07.9700000,degF,21444
135,USC00053496,GRAND LAKE 1 NW,NOAA,5,51,GRAND ,CO,429240.6,4457713.3,40.266903,-105.832205,User supplied,MaxTemp,10/1/39,12/11/20,2020-12-16T01:06:27.5330000,degF,29657
136,USC00053500,GRAND LAKE 6 SSW,NOAA,5,51,GRAND ,CO,426226.7,4448639.6,40.18491,-105.866607,User supplied,MaxTemp,8/1/48,12/12/20,2020-12-16T01:06:47.0030000,degF,26431
137,USC00053508,GRAND VALLEY,NOAA,5,39,GARFIELD ,CO,237552.1,4371156.4,39.450003,-108.050012,User supplied,MaxTemp,10/1/04,5/31/81,2013-08-08T07:37:01.5370000,degF,28001
147,USC00053592,GREEN MT DAM,NOAA,5,36,SUMMIT ,CO,385987.3,4415167.1,39.878906,-106.333314,User supplied,MaxTemp,7/1/39,12/22/08,2013-10-11T14:22:03.6930000,degF,25377
155,USC00050370,ASPEN,NOAA,5,38,PITKIN ,CO,341653.7,4338722.1,39.183335,-106.833337,User supplied,MaxTemp,1/1/14,11/30/79,2013-08-08T07:37:01.5370000,degF,24074
156,USC00050372,ASPEN 1 SW,NOAA,5,38,PITKIN ,CO,341254.5,4338937.8,39.185208,-106.838017,User supplied,MaxTemp,7/1/80,10/31/20,2020-12-16T00:43:35.7470000,degF,14732
167,USC00050405,AVON,NOAA,5,37,EAGLE ,CO,369844.8,4388160.7,39.633339,-106.516679,User supplied,MaxTemp,8/1/81,10/31/89,2013-08-08T07:37:01.5370000,degF,3013
171,USC00054129,HOT SULPHUR SPRINGS,NOAA,5,51,GRAND ,CO,401906.8,4433940.2,40.050004,-106.150008,User supplied,MaxTemp,12/1/41,6/30/81,2013-08-08T07:37:01.5370000,degF,14456
178,USC00054270,INDEPENDENCE PASS,NOAA,5,38,PITKIN ,CO,360170.2,4327267.8,39.083338,-106.616683,User supplied,MaxTemp,7/1/47,1/31/80,2013-08-08T07:37:01.5370000,degF,11902
199,USC00054664,KREMMLING,NOAA,5,50,GRAND ,CO,383324.2,4435046.8,40.057608,-106.368013,User supplied,MaxTemp,1/1/08,11/30/20,2020-12-16T01:17:14.9570000,degF,41242
230,USC00050514,BASALT,NOAA,5,38,EAGLE ,CO,324835.5,4359439.5,39.366681,-107.033335,User supplied,MaxTemp,7/14/65,5/23/72,2013-03-29T15:42:35.2400000,degF,2505
244,USC00055507,MEREDITH,NOAA,5,38,PITKIN ,CO,349906.8,4358385.8,39.361908,-106.742208,User supplied,MaxTemp,8/15/63,8/2/07,2015-02-10T11:36:23.7000000,degF,16058
246,USC00055520,MESA LAKES RESORT,NOAA,5,72,MESA ,CO,233170.2,4326850.7,39.050008,-108.083344,User supplied,MaxTemp,9/22/71,3/31/79,2013-08-08T07:37:01.5370000,degF,2747
269,USC00056073,OIL SHALE MINE,NOAA,5,39,GARFIELD ,CO,247954.9,4381923.8,39.550008,-107.93334,User supplied,MaxTemp,2/1/47,11/23/51,2013-03-29T15:42:35.2400000,degF,1756
279,USC00056266,PALISADE,NOAA,5,72,MESA ,CO,210304.8,4334730,39.113606,-108.350509,User supplied,MaxTemp,5/1/11,12/11/20,2020-12-16T01:28:33.2500000,degF,40037
285,USC00056311,PARACHUTE,NOAA,5,39,GARFIELD ,CO,237552.1,4371156.4,39.450003,-108.050012,User supplied,MaxTemp,6/1/81,5/29/92,2013-08-08T07:37:01.5370000,degF,4015
317,USC00056917,REDCLIFF,NOAA,5,37,EAGLE ,CO,382521,4375006.2,39.516675,-106.36668,User supplied,MaxTemp,9/1/47,8/29/51,2013-03-29T15:42:35.2400000,degF,1458
321,USC00056966,REDSTONE,NOAA,5,38,PITKIN ,CO,307102.1,4339497.2,39.183335,-107.233342,User supplied,MaxTemp,8/14/63,8/31/64,2013-03-29T15:42:35.2400000,degF,383
322,USC00056970,REDSTONE 4 W,NOAA,5,38,PITKIN ,CO,301390,4341491.4,39.200002,-107.300011,User supplied,MaxTemp,6/1/79,6/23/94,2013-08-08T07:37:01.5370000,degF,5501
326,USC00057031,RIFLE,NOAA,5,39,GARFIELD ,CO,260659.9,4380933,39.544726,-107.785289,User supplied,MaxTemp,9/9/10,1/6/09,2015-01-28T14:14:32.5000000,degF,35914
352,USC00057618,SHOSHONE,NOAA,5,53,GARFIELD ,CO,308734.4,4382434.7,39.570309,-107.226715,User supplied,MaxTemp,1/1/10,12/11/20,2020-12-16T01:35:12.9430000,degF,40522
376,USC00050810,BOND,NOAA,5,53,EAGLE ,CO,356063.5,4416164.1,39.883335,-106.683334,User supplied,MaxTemp,11/15/58,3/31/75,2013-03-29T15:42:35.2400000,degF,5980
378,USC00058148,TABERNASH,NOAA,5,51,GRAND ,CO,427443.8,4428103.2,40.000005,-105.850008,User supplied,MaxTemp,10/1/50,9/30/51,2013-03-29T15:42:35.2400000,degF,364
385,USC00050825,BONHAM RESERVOIR,NOAA,5,72,MESA ,CO,249328.3,4332152.6,39.10251,-107.898814,User supplied,MaxTemp,8/1/63,10/31/20,2020-12-16T00:45:24.7130000,degF,20911
404,USC00058575,VAIL,NOAA,5,37,EAGLE ,CO,383832.4,4388611,39.639406,-106.353816,User supplied,MaxTemp,2/1/85,9/30/20,2020-11-16T00:20:37.3000000,degF,13025
430,USC00050909,BRECKENRIDGE,NOAA,5,36,SUMMIT ,CO,410293,4371271,39.486375,-106.043155,User supplied,MaxTemp,1893-01-01,7/31/78,2013-08-08T07:37:01.5370000,degF,40000
431,USC00059096,WILLIAMS FORK DAM,NOAA,5,51,GRAND ,CO,397298.9,4432613.5,40.037511,-106.203809,User supplied,MaxTemp,6/1/82,12/13/20,2020-12-16T01:42:39.5130000,degF,14075
434,USC00059175,WINTER PARK,NOAA,5,51,GRAND ,CO,434846,4415804,39.889806,-105.76207,User supplied,MaxTemp,3/1/42,9/2/15,2017-01-14T03:50:07.3330000,degF,26848
1757,05K06S,ARROW,SCS,5,51,Grand,CO,435902,4418781,39.916706,-105.750012,User supplied,MaxTemp,1/1/09,12/31/12,2015-01-27T07:10:26.0670000,degF,1460
1760,07K12S,BISON LAKE,SCS,5,53,Garfield,CO,298713,4404505,39.766706,-107.350015,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:17:39.7000000,degF,4363
1762,06K24S,COPPER MOUNTAIN,SCS,5,36,Summit,CO,399663,4371061,39.483309,-106.16671,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:08:05.8130000,degF,4363
1764,06K08S,FREMONT PASS,SCS,5,36,Summit,CO,396651,4360000,39.383307,-106.200015,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:06:43.2330000,degF,4363
1770,05K09S,GRIZZLY PEAK,SCS,5,36,Summit,CO,425642,4389271,39.650009,-105.866709,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T01:57:48.3000000,degF,4363
1774,06K04S,INDEPENDENCE PASS,SCS,5,38,Pitkin,CO,360135,4325422,39.066705,-106.616708,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:06:08.8270000,degF,4363
1778,06K30S,KILN,SCS,5,38,Pitkin,CO,360630,4353168,39.316705,-106.616706,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:09:26.1600000,degF,4363
1780,05J10S,LAKE IRENE,SCS,5,51,Grand,CO,430712,4474329,40.416709,-105.81671,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T01:54:45.1170000,degF,4363
1784,06J06S,LYNX PASS,SCS,5,53,Routt,CO,357901,4438334,40.083308,-106.666705,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:02:55.4630000,degF,4363
1787,08K04S,MESA LAKES,SCS,5,72,Mesa,CO,233173,4326851,39.050009,-108.083309,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:24:55.8970000,degF,4363
1794,07K01S,NORTH LOST TRAIL,SCS,5,38,Gunnison,CO,313994,4326378,39.066703,-107.150005,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:15:38.9500000,degF,4363
1797,05J04S,PHANTOM VALLEY,SCS,5,51,Grand,CO,427869,4472502,40.40001,-105.85001,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T01:53:50.4230000,degF,4363
1801,05J12S,STILLWATER CREEK,SCS,5,51,Grand,CO,422017,4454055,40.233309,-105.916712,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T01:55:07.8970000,degF,4363
1803,06K14S,SUMMIT RANCH,SCS,5,36,Summit,CO,399999,4396965,39.716705,-106.166713,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:07:24.5000000,degF,4363
1806,06K39S,VAIL MOUNTAIN,SCS,5,37,Eagle,CO,381262,4386130,39.616705,-106.383313,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:09:42.8170000,degF,4363
1809,06J05S,WILLOW CREEK PASS,SCS,5,51,Grand,CO,406585,4467186,40.35001,-106.100005,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:02:41.0870000,degF,4363
1872,07K09S,MC CLURE PASS,SCS,5,38,Gunnison,CO,302646,4334052,39.133308,-107.283309,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:17:01.0600000,degF,4363
1879,07K11S,SCHOFIELD PASS,SCS,5,38,Gunnison,CO,322521,4320629,39.016705,-107.050007,User supplied,MaxTemp,1/17/09,12/12/20,2020-12-16T02:17:21.8270000,degF,4347
1883,06K06S,NAST LAKE,SCS,5,38,Pitkin,CO,362037,4351289,39.300006,-106.600005,User supplied,MaxTemp,1/1/09,12/12/20,2020-12-16T02:06:25.9670000,degF,4363
1890,FRT02,"CSU FRUITA EXPT STATION, 2 MI ENE FRUITA",CoAgMet,5,72,MESA,CO,180380.2,4343310,39.180307,-108.700011,,MaxTemp,6/16/92,1/5/20,2020-11-15T20:22:37.1200000,degF,10064
1891,GJC01,"GRAND JUNCTION, 3 MI NW GRAND JUNCTION",CoAgMet,5,72,MESA,CO,186232.6,4342505.9,39.175208,-108.632011,,MaxTemp,10/1/93,5/10/09,2017-05-22T13:33:54.3670000,degF,5700
2685,USC00051743,COLLBRAN 2 SW,NOAA,5,72,MESA ,CO,242820.7,4347264.9,39.236607,-107.979707,User supplied,MaxTemp,2/1/00,12/12/20,2020-12-16T00:51:57.5300000,degF,7620
2906,WFD01,"WOLFORD MTN RESERVOIR, 5 MI NNW KREMMLING",CoAgMet,5,50,GRAND,CO,379458.5,4444111.2,40.138703,-106.415018,,MaxTemp,11/30/04,12/14/20,2020-12-15T21:02:47.7830000,degF,5858
2928,ORM01,"ORCHARD MESA, ORCHARD MESA",CoAgMet,5,72,MESA,CO,200531.8,4327136.8,39.042008,-108.460009,,MaxTemp,1/2/06,9/24/19,2020-09-15T20:43:20.9130000,degF,5013
2937,06J08S,ARAPAHO RIDGE,NRCS,5,50,Grand,CO,382686.8,4467629.8,40.350991,-106.381425,,MaxTemp,2/1/18,12/12/20,2020-12-16T02:03:12.2300000,degF,1045
2939,07J03S,BEAR RIVER,NRCS,5,53,Routt,CO,329399,4435223,40.050005,-107.000012,,MaxTemp,1/1/09,12/12/20,2020-12-16T02:14:40.0570000,degF,4363
2941,06K45S,BEAVER CK VILLAGE,NRCS,5,37,Eagle,CO,369780,4384461,39.600002,-106.516708,,MaxTemp,1/1/09,12/12/20,2020-12-16T02:10:51.1130000,degF,4363
2944,06J18S,BUFFALO PARK,NRCS,5,50,Grand,CO,365275,4453011,40.216703,-106.583314,,MaxTemp,1/1/09,12/12/20,2020-12-16T02:04:09.7470000,degF,4363
2956,06K01S,HOOSIER PASS,NRCS,5,36,Summit,CO,408110,4358014,39.36671,-106.066713,,MaxTemp,1/1/09,12/12/20,2020-12-16T02:05:42.6700000,degF,4363
2957,06K10S,IVANHOE,NRCS,5,38,Pitkin,CO,366316,4349361,39.283311,-106.550015,,MaxTemp,1/1/09,12/12/20,2020-12-16T02:06:55.9830000,degF,4363
2960,05K21S,JONES PASS,NRCS,5,51,Grand,CO,422915,4402251,39.766706,-105.900009,,MaxTemp,1/1/09,12/12/20,2020-12-16T01:58:07.1600000,degF,4363
2966,06K44S,MCCOY PARK,NRCS,5,37,Eagle,CO,368355,4384486,39.60001,-106.533305,,MaxTemp,1/1/09,12/12/20,2020-12-16T02:10:34.0070000,degF,4363
2970,06K12S,MIDDLE FORK CAMP,NRCS,5,51,Grand,CO,412940,4404200,39.783303,-106.016713,,MaxTemp,1/1/09,12/12/20,2020-12-16T02:07:13.7830000,degF,4363
3488,06K46S,CHAPMAN TUNNEL,NRCS,5,38,PITKIN,CO,360500,4345765.3,39.250003,-106.61668,,MaxTemp,2/1/18,12/12/20,2020-12-16T02:11:03.1770000,degF,1045
3513,06K29S,ELLIOT RIDGE,NRCS,5,36,SUMMIT,CO,378807.5,4412068.8,39.850006,-106.416669,,MaxTemp,2/1/18,12/12/20,2020-12-16T02:08:46.7530000,degF,1045
3521,USC00057033,RIFLE 3ENE,NOAA,5,39,GARFIELD ,CO,265788,4382162.5,39.557202,-107.72611,,MaxTemp,10/1/09,12/13/20,2020-12-16T01:31:07.3530000,degF,4091
3762,05K30S,FOOL CREEK,NRCS,5,51,GRAND,CO,425877.2,4413317.9,39.866673,-105.866682,,MaxTemp,2/1/18,12/12/20,2020-12-16T01:59:04.4930000,degF,1045
3958,USC00053147,FRUITA 2 W,NOAA,5,72,MESA ,CO,173752.9,4342348.9,39.169207,-108.77611,,MaxTemp,6/1/12,10/16/14,2016-01-16T01:39:23.3530000,degF,867
3959,USC00053486,GRAND JUNCTION WEATHER FORECAST OFFICE,NOAA,5,72,MESA ,CO,195265.8,4335989.2,39.119804,-108.524709,,MaxTemp,11/1/11,12/12/20,2020-12-16T01:05:47.1370000,degF,3329
3994,USW00003076,GRAND JUNCTION 9 W,NOAA,5,72,MESA ,CO,176970.6,4334719.8,39.101808,-108.735306,,MaxTemp,6/17/09,5/31/14,2016-01-16T01:39:23.3530000,degF,1809
3998,USW00093073,ASPEN PITKIN CO AIRPORT SARDY FIELD,NOAA,5,38,PITKIN ,CO,338544.8,4343967.6,39.23001,-106.870569,,MaxTemp,5/21/98,12/9/20,2020-12-16T02:35:13.5030000,degF,8238
4000,USW00003098,EAGLE 13 SSE,NOAA,5,37,EAGLE ,CO,350896.8,4371779.2,39.482705,-106.733708,,MaxTemp,7/19/10,5/31/14,2016-01-16T01:39:23.3530000,degF,1412
4001,USW00003016,RIFLE GARFIELD CO AIRPORT,NOAA,5,45,GARFIELD ,CO,266237.4,4378880.1,39.527785,-107.719736,,MaxTemp,6/1/97,12/10/20,2020-12-16T02:27:35.3430000,degF,8593
4699,USR0000CPNR,PINE RIDGE COLORADO,NOAA,5,72,MESA ,CO,206013.8,4351198.4,39.260302,-108.407209,,MaxTemp,9/2/88,12/13/20,2020-12-16T01:51:37.2400000,degF,11790
4747,USR0000CCRO,THE CROWN COLORADO,NOAA,5,38,PITKIN ,CO,319650.4,4358017.7,39.352809,-107.093115,,MaxTemp,5/28/91,12/13/20,2020-12-16T01:46:43.9370000,degF,10792
4811,USR0000CDEM,DEMAREE COLORADO,NOAA,5,72,GARFIELD ,CO,166160.8,4375015.2,39.460004,-108.880008,,MaxTemp,11/7/95,12/13/20,2020-12-16T01:47:16.1500000,degF,9168
4862,USR0000CRIF,RIFLE COLORADO,NOAA,5,45,GARFIELD ,CO,263650.4,4377227.7,39.512209,-107.749215,,MaxTemp,7/11/84,12/13/20,2020-12-16T01:52:22.7800000,degF,13304
4918,USR0000CSOD,SODA CREEK COLORADO,NOAA,5,36,SUMMIT ,CO,415262.5,4379388,39.560007,-105.986416,,MaxTemp,9/19/86,12/13/20,2020-12-16T01:53:05.9670000,degF,12504
4922,USR0000CSKU,STORM KING MOUNTAIN COLORADO,NOAA,5,45,GARFIELD ,CO,292105.5,4381998.1,39.562506,-107.420004,,MaxTemp,3/22/95,12/13/20,2020-12-16T01:52:49.3700000,degF,9398
5000,USR0000CDOW,DOWD JUNCTION COLORADO,NOAA,5,37,EAGLE ,CO,375409,4387354.9,39.626907,-106.451711,,MaxTemp,7/2/85,12/13/20,2020-12-16T01:47:49.5600000,degF,12948
5098,USR0000CHMT,HORSE MOUNTAIN COLORADO,NOAA,5,39,GARFIELD ,CO,262314.2,4397235.6,39.69191,-107.771913,,MaxTemp,5/28/91,6/3/97,2013-08-08T07:37:01.5370000,degF,2198
5101,USR0000CGYP,GYPSUM COLORADO,NOAA,5,52,EAGLE ,CO,330824.3,4395800.3,39.695303,-106.973114,,MaxTemp,5/28/91,12/13/20,2020-12-16T01:49:01.2900000,degF,10792
5430,USR0000CPOR,PORCUPINE CREEK COLORADO,NOAA,5,53,ROUTT ,CO,359661.2,4439911.1,40.097806,-106.646412,,MaxTemp,6/12/85,12/13/20,2020-12-16T01:51:48.3970000,degF,12968
5471,USR0000CGUN,GUNSIGHT COLORADO,NOAA,5,50,GRAND ,CO,386885.2,4451823.9,40.209207,-106.329213,,MaxTemp,10/16/87,12/13/20,2020-12-16T01:48:53.4770000,degF,12112
5501,USR0000CSLP,HARBISON MEADOW COLORADO,NOAA,5,51,GRAND ,CO,429193.6,4458146.7,40.270809,-105.832806,,MaxTemp,2/20/03,12/13/20,2020-12-16T01:52:58.5670000,degF,6506
5810,350,NATIVE GRASSES                ,NCWCD,5,51,GRAND,CO,417671.1,4440149.1,40.107624,-105.966016,,MaxTemp,9/12/98,12/14/20,2020-12-15T21:20:47.7030000,degF,8129
5811,352,SHADOW MOUNTAIN               ,NCWCD,5,51,GRAND,CO,428386.3,4451112.1,40.207366,-105.841524,,MaxTemp,9/16/11,12/14/20,2020-12-15T21:21:27.4700000,degF,3377
6806,05J45S,Sawtooth,NRCS,5,51,GRAND,CO,436017,4432466,40.040004,-105.750014,,MaxTemp,2/1/18,12/12/20,2020-12-16T01:57:07.6830000,degF,1045
7364,CBL01,"CARBONDALE, CARBONDALE",CoAgMet,5,49,PITKIN,CO,309775,4359308,39.362301,-107.208,,MaxTemp,5/8/15,12/14/20,2020-12-15T20:10:56.0530000,degF,2047
7367,SLT01,"SILT, SILT MESA",CoAgMet,5,23,GARFIELD,CO,268664,4383131,39.5667,-107.693001,,MaxTemp,5/8/15,12/14/20,2020-12-15T20:58:33.5570000,degF,2047
8796,CBN01,COLLBRAN,COAGMET,5,72,,CO,241795.7,4343153,39.1993,-107.989996,User supplied,MaxTemp,3/30/18,12/14/20,2020-12-15T20:11:20.1330000,degC,990
8798,GBY01,GRANBY,COAGMET,5,51,,CO,419629.1,4439803.4,40.104697,-105.943001,User supplied,MaxTemp,4/23/18,12/14/20,2020-12-15T20:25:43.4700000,degC,966
8799,GYP01,GYPSUM,COAGMET,5,37,,CO,332916.6,4388991,39.6344,-106.946995,User supplied,MaxTemp,10/11/17,12/12/20,2020-12-15T20:27:40.1000000,degC,1158
9263,USC00057033,"RIFLE 3 ENE, CO US",NOAA,5,39,,CO,265788.9,4382161.8,39.557202,-107.726099,User supplied,MaxTemp,1/19/19,2/27/20,2020-12-16T01:30:55.0930000,degF,404
9277,ORM02,CSU ORCHARD MESA RESEARCH STA,COAGMET,5,72,,CO,199935.6,4327392.4,39.044097,-108.466995,User supplied,MaxTemp,9/25/19,12/14/20,2020-12-15T20:49:59.2100000,degC,446
9283,FRT03,CSU FRUITA EXP STATION,COAGMET,5,72,,CO,180652.4,4343598.3,39.182997,-108.697004,User supplied,MaxTemp,9/25/19,12/14/20,2020-12-15T20:22:20.5070000,degC,446
9291,EGL01,EAGLE,COAGMET,5,37,,CO,347069.2,4388297.4,39.630796,-106.782002,User supplied,MaxTemp,11/19/19,12/14/20,2020-12-15T20:19:19.5430000,degC,391
9312,USC00055519,"MESA 5 SSE, CO US",NOAA,5,72,,CO,230295.7,4331290.3,39.089068,-108.118267,User supplied,MaxTemp,6/1/19,12/12/20,2020-12-16T01:23:30.5970000,degF,560
1890,FRT02,"CSU FRUITA EXPT STATION, 2 MI ENE FRUITA",CoAgMet,5,72,MESA,CO,180380.2,4343310,39.180307,-108.700011,,MeanTemp,2/1/15,1/5/20,2020-11-15T20:22:37.1030000,degF,1799
2906,WFD01,"WOLFORD MTN RESERVOIR, 5 MI NNW KREMMLING",CoAgMet,5,50,GRAND,CO,379458.5,4444111.2,40.138703,-106.415018,,MeanTemp,2/1/15,12/14/20,2020-12-15T21:02:47.7670000,degF,2143
2928,ORM01,"ORCHARD MESA, ORCHARD MESA",CoAgMet,5,72,MESA,CO,200531.8,4327136.8,39.042008,-108.460009,,MeanTemp,2/1/15,9/24/19,2020-09-15T20:43:20.9130000,degF,1696
5810,350,NATIVE GRASSES                ,NCWCD,5,51,GRAND,CO,417671.1,4440149.1,40.107624,-105.966016,,MeanTemp,12/31/18,12/14/20,2020-12-15T21:20:47.7030000,degF,714
5811,352,SHADOW MOUNTAIN               ,NCWCD,5,51,GRAND,CO,428386.3,4451112.1,40.207366,-105.841524,,MeanTemp,3/1/15,12/14/20,2020-12-15T21:21:27.4700000,degF,2115
7364,CBL01,"CARBONDALE, CARBONDALE",CoAgMet,5,49,PITKIN,CO,309775,4359308,39.362301,-107.208,,MeanTemp,5/8/15,12/14/20,2020-12-15T20:10:56.0530000,degF,2047
7367,SLT01,"SILT, SILT MESA",CoAgMet,5,23,GARFIELD,CO,268664,4383131,39.5667,-107.693001,,MeanTemp,5/8/15,12/14/20,2020-12-15T20:58:33.5570000,degF,2047
8796,CBN01,COLLBRAN,COAGMET,5,72,,CO,241795.7,4343153,39.1993,-107.989996,User supplied,MeanTemp,3/30/18,12/14/20,2020-12-15T20:11:20.1330000,degC,990
8798,GBY01,GRANBY,COAGMET,5,51,,CO,419629.1,4439803.4,40.104697,-105.943001,User supplied,MeanTemp,4/23/18,12/14/20,2020-12-15T20:25:43.4700000,degC,966
8799,GYP01,GYPSUM,COAGMET,5,37,,CO,332916.6,4388991,39.6344,-106.946995,User supplied,MeanTemp,10/11/17,12/12/20,2020-12-15T20:27:40.1000000,degC,1158
9277,ORM02,CSU ORCHARD MESA RESEARCH STA,COAGMET,5,72,,CO,199935.6,4327392.4,39.044097,-108.466995,User supplied,MeanTemp,9/25/19,12/14/20,2020-12-15T20:49:59.1970000,degC,446
9283,FRT03,CSU FRUITA EXP STATION,COAGMET,5,72,,CO,180652.4,4343598.3,39.182997,-108.697004,User supplied,MeanTemp,9/25/19,12/14/20,2020-12-15T20:22:20.5070000,degC,446
9291,EGL01,EAGLE,COAGMET,5,37,,CO,347069.2,4388297.4,39.630796,-106.782002,User supplied,MeanTemp,11/19/19,12/14/20,2020-12-15T20:19:19.5270000,degC,391
35,USC00051741,COLLBRAN,NOAA,5,72,MESA ,CO,244278.6,4347872.7,39.242509,-107.963066,User supplied,MinTemp,10/23/00,12/31/99,2013-10-11T14:22:03.7730000,degF,36228
36,USC00051745,COLLBRAN 3 ENE,NOAA,5,72,MESA ,CO,246871.8,4348621.6,39.25001,-107.933339,User supplied,MinTemp,1/10/68,1/31/70,2013-03-29T15:43:59.8170000,degF,752
37,USC00051772,COLORADO NATL MONUMENT,NOAA,5,72,MESA ,CO,177098.1,4334659,39.101306,-108.733812,User supplied,MinTemp,3/1/40,11/17/20,2020-12-16T00:52:15.9000000,degF,29481
56,USC00052121,DE BEQUE,NOAA,5,70,MESA ,CO,222745.6,4358703.4,39.333332,-108.216676,User supplied,MinTemp,12/1/51,6/30/54,2013-03-29T15:43:59.8170000,degF,942
