analysisWdid,analysisStructureName,locationWdid,locationStructure,sum_wtd_count
3703524,SYLVAN LAKE,5300584,SHOSHONE POWER PLANT,1609.296
3604923,CLIMAX INTEGRATED WATER SYSTEM,5300584,SHOSHONE POWER PLANT,1017.607
5003668,WOLFORD MOUNTAIN RESERVOIR,5300584,SHOSHONE POWER PLANT,728.127
5303955,BEAVER DAM RESERVOIR,5300584,SHOSHONE POWER PLANT,728.127
3703596,COTTON POND,5300584,SHOSHONE POWER PLANT,728.127
5003647,CONFLUENCE RESERVOIR,5300584,SHOSHONE POWER PLANT,728.127
5104700,WINDY GAP PUMP PL CANAL,5300584,SHOSHONE POWER PLANT,728.127
5303966,GRIMES BROOKS RESERVOIR,5300584,SHOSHONE POWER PLANT,718.398
3600709,LOBACK DITCH,5300584,SHOSHONE POWER PLANT,663.002
5000734,DEBERARD DITCH OVERFLOW SYSTEM,5300584,SHOSHONE POWER PLANT,653.273
5104060,ASPEN CANYON RANCH POND 1,5300584,SHOSHONE POWER PLANT,485.418
5003655,MILK CREEK RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
3703689,CORNWELL POND NO 1,5300584,SHOSHONE POWER PLANT,485.418
3703684,BRETT RANCH POND,5300584,SHOSHONE POWER PLANT,485.418
5003651,BASIN RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5103552,GRAND ELK POND A,5300584,SHOSHONE POWER PLANT,485.418
3703659,WATERFORD RANCH PD P8-2,5300584,SHOSHONE POWER PLANT,485.418
3603575,CLINTON GULCH RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5004600,SARVIS DITCH,5300584,SHOSHONE POWER PLANT,485.418
5304041,HEWES RESERVOIR NO 4,5300584,SHOSHONE POWER PLANT,485.418
5303518,WASHBURN CABIN POND,5300584,SHOSHONE POWER PLANT,485.418
3603694,ARAPAHOE BASIN SNOWMAKING RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
3603624,SWAN RIVER WATER SYSTEM PONDS,5300584,SHOSHONE POWER PLANT,485.418
5000617,MCMAHON DITCH,5300584,SHOSHONE POWER PLANT,485.418
3703608,BLACK LAKE,5300584,SHOSHONE POWER PLANT,485.418
5103720,VAGABOND RANCH POND,5300584,SHOSHONE POWER PLANT,485.418
5003649,HEINI-KRAMER RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5303976,JONES NO 3 RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5003648,LEWIS RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5104021,MEADOW SPRINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5003646,MARTIN RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5003645,BINCO RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5104008,GLENN POND NO 2,5300584,SHOSHONE POWER PLANT,485.418
5104007,GLENN POND NO 1,5300584,SHOSHONE POWER PLANT,485.418
5103752,KINGS RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5103750,FRASER VALLEY DOWNSTREAM RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
5103529,TIMBERLINE POND,5300584,SHOSHONE POWER PLANT,485.418
5003616,HEINI RESERVOIR,5300584,SHOSHONE POWER PLANT,485.418
3703600,BENCHMARK LAKE,5300584,SHOSHONE POWER PLANT,485.418
5303569,PERRY POND NO 1,5300584,SHOSHONE POWER PLANT,485.418
3703545,CAMP HALE POND NO 1,5300584,SHOSHONE POWER PLANT,485.418
5303570,PERRY POND NO 2,5300584,SHOSHONE POWER PLANT,485.418
5303588,GORE VIEW POND,5300584,SHOSHONE POWER PLANT,485.418
5304051,BUCK POND,5300584,SHOSHONE POWER PLANT,485.418
3702056,MIN FLOW GORE CR LOWER,5300584,SHOSHONE POWER PLANT,485.418
5303571,PERRY POND NO 3,5300584,SHOSHONE POWER PLANT,485.418
3703516,G G LOWER RESERVOIR,5300584,SHOSHONE POWER PLANT,475.689
5203940,JONES RESERVOIR,5300584,SHOSHONE POWER PLANT,475.689
5003618,HINMAN RESERVOIR,5300584,SHOSHONE POWER PLANT,475.689
