analysisWdid,locationWdid,priorityWdid,sum_wtd_count,priority_sum_wtd_count
3600645,5300584,5300584,17.333,17.333
3600645,7200645,3603543,34.115,19.031
3600645,7200645,7200645,34.115,15.084
3600649,3603543,3603543,686.0,686.0
3600671,3603543,3603543,686.0,686.0
3600687,3603543,3603543,343.0,343.0
3600709,5300584,5300584,61.999,51.999
3600709,7200645,3603543,75.39699999999999,38.062
3600709,5300584,3604684,61.999,17.167
3600709,7200645,7200645,75.39699999999999,30.168
3600709,7200645,3604684,75.39699999999999,17.167
3600734,3603543,3603543,343.0,343.0
3600775,5300584,5300584,27.333,17.333
3600775,7200645,3603543,41.282,19.031
3600775,5300584,3604684,27.333,17.167
3600775,7200645,7200645,41.282,15.084
3600775,7200645,3604684,41.282,17.167
3600776,5300584,5300584,27.333,17.333
3600776,7200645,3603543,41.282,19.031
3600776,5300584,3604684,27.333,17.167
3600776,7200645,7200645,41.282,15.084
3600776,7200645,3604684,41.282,17.167
3600780,3603543,3603543,343.0,343.0
3600796,3603543,3603543,343.0,343.0
3600803,5300584,5300584,17.333,17.333
3600803,7200645,3603543,34.115,19.031
3600803,7200645,7200645,34.115,15.084
3600830,3603543,3603543,343.0,343.0
3600985,5300584,5300584,27.333,17.333
3600985,7200645,3603543,41.282,19.031
3600985,5300584,3604684,27.333,17.167
3600985,7200645,7200645,41.282,15.084
3600985,7200645,3604684,41.282,17.167
3601044,3603543,3603543,343.0,343.0
3601058,3603543,3603543,343.0,343.0
3601085,3603543,3603543,343.0,343.0
3601100,3603543,3603543,343.0,343.0
3602030,3603543,3603543,343.0,343.0
3602033,3603543,3603543,343.0,343.0
3602037,3603543,3603543,343.0,343.0
3602043,3603543,3603543,343.0,343.0
3602044,3603543,3603543,343.0,343.0
3602045,3603543,3603543,343.0,343.0
3602046,3603543,3603543,343.0,343.0
3602047,3603543,3603543,343.0,343.0
3602048,3603543,3603543,343.0,343.0
3602049,5300584,5300584,27.333,17.333
3602049,7200645,3603543,41.282,19.031
3602049,5300584,3604684,27.333,17.167
3602049,7200645,7200645,41.282,15.084
3602049,7200645,3604684,41.282,17.167
3603533,3603543,3603543,343.0,343.0
3603534,3603543,3603543,343.0,343.0
3603537,5300584,5300584,17.333,17.333
3603537,7200645,3603543,34.115,19.031
3603537,7200645,7200645,34.115,15.084
3603539,3603543,3603543,352.0,352.0
3603542,3603543,3603543,343.0,343.0
3603543,3603543,3603543,343.0,343.0
3603544,5300584,5300584,27.333,17.333
3603544,7200645,3603543,41.282,19.031
3603544,5300584,3604684,27.333,17.167
3603544,7200645,7200645,41.282,15.084
3603544,7200645,3604684,41.282,17.167
3603545,5300584,5300584,27.333,17.333
3603545,7200645,3603543,41.282,19.031
3603545,5300584,3604684,27.333,17.167
3603545,7200645,7200645,41.282,15.084
3603545,7200645,3604684,41.282,17.167
3603548,5300584,5300584,34.666,34.666
3603548,7200645,3603543,68.23,38.062
3603548,7200645,7200645,68.23,30.168
3603549,5300584,5300584,27.333,17.333
3603549,7200645,3603543,41.282,19.031
3603549,5300584,3604684,27.333,17.167
3603549,7200645,7200645,41.282,15.084
3603549,7200645,3604684,41.282,17.167
3603555,3603543,3603543,343.0,343.0
3603565,3603543,3603543,343.0,343.0
3603569,3603543,3603543,343.0,343.0
3603570,3603543,3603543,343.0,343.0
3603571,5300584,5300584,17.333,17.333
3603571,7200645,3603543,34.115,19.031
3603571,7200645,7200645,34.115,15.084
3603573,3603543,3603543,343.0,343.0
3603574,3603543,3603543,343.0,343.0
3603575,3603543,3603543,1047.0,1047.0
3603578,5300584,5300584,27.333,17.333
3603578,7200645,3603543,41.282,19.031
3603578,5300584,3604684,27.333,17.167
3603578,7200645,7200645,41.282,15.084
3603578,7200645,3604684,41.282,17.167
3603579,5300584,5300584,27.333,17.333
3603579,7200645,3603543,41.282,19.031
3603579,5300584,3604684,27.333,17.167
3603579,7200645,7200645,41.282,15.084
3603579,7200645,3604684,41.282,17.167
3603580,5300584,5300584,27.333,17.333
3603580,7200645,3603543,41.282,19.031
3603580,5300584,3604684,27.333,17.167
3603580,7200645,7200645,41.282,15.084
3603580,7200645,3604684,41.282,17.167
3603581,5300584,5300584,27.333,17.333
3603581,7200645,3603543,41.282,19.031
3603581,5300584,3604684,27.333,17.167
3603581,7200645,7200645,41.282,15.084
3603581,7200645,3604684,41.282,17.167
3603582,5300584,5300584,27.333,17.333
3603582,7200645,3603543,41.282,19.031
3603582,5300584,3604684,27.333,17.167
3603582,7200645,7200645,41.282,15.084
3603582,7200645,3604684,41.282,17.167
3603583,3603543,3603543,695.0,695.0
3603584,3603543,3603543,343.0,343.0
3603585,3603543,3603543,343.0,343.0
3603586,3603543,3603543,343.0,343.0
3603587,3603543,3603543,343.0,343.0
3603588,3603543,3603543,343.0,343.0
3603589,3603543,3603543,343.0,343.0
3603591,3603543,3603543,343.0,343.0
3603592,3603543,3603543,343.0,343.0
3603593,3603543,3603543,343.0,343.0
3603594,3603543,3603543,343.0,343.0
3603595,3603543,3603543,343.0,343.0
3603596,3603543,3603543,343.0,343.0
3603599,3603543,3603543,343.0,343.0
3603604,5300584,5300584,27.333,17.333
3603604,7200645,3603543,41.282,19.031
3603604,5300584,3604684,27.333,17.167
3603604,7200645,7200645,41.282,15.084
3603604,7200645,3604684,41.282,17.167
3603605,3603543,3603543,343.0,343.0
3603606,3603543,3603543,343.0,343.0
3603610,3603543,3603543,343.0,343.0
3603611,3603543,3603543,343.0,343.0
3603612,3603543,3603543,343.0,343.0
3603613,3603543,3603543,343.0,343.0
3603614,3603543,3603543,343.0,343.0
3603615,3603543,3603543,343.0,343.0
3603616,3603543,3603543,343.0,343.0
3603617,3603543,3603543,343.0,343.0
3603624,3603543,3603543,686.0,686.0
3603625,3603543,3603543,343.0,343.0
3603628,5300584,5300584,27.333,17.333
3603628,7200645,3603543,41.282,19.031
3603628,5300584,3604684,27.333,17.167
3603628,7200645,7200645,41.282,15.084
3603628,7200645,3604684,41.282,17.167
3603635,3603543,3603543,343.0,343.0
3603636,3603543,3603543,343.0,343.0
3603638,3603543,3603543,343.0,343.0
3603644,3603543,3603543,352.0,352.0
3603645,3603543,3603543,352.0,352.0
3603651,3603543,3603543,352.0,352.0
3603652,3603543,3603543,352.0,352.0
3603655,3603543,3603543,352.0,352.0
3603656,3603543,3603543,352.0,352.0
3603657,3603543,3603543,352.0,352.0
3603661,5300584,5300584,27.333,17.333
3603661,7200645,3603543,41.282,19.031
3603661,5300584,3604684,27.333,17.167
3603661,7200645,7200645,41.282,15.084
3603661,7200645,3604684,41.282,17.167
3603662,3603543,3603543,343.0,343.0
3603664,3603543,3603543,343.0,343.0
3603665,3603543,3603543,343.0,343.0
3603666,3603543,3603543,343.0,343.0
3603667,3603543,3603543,343.0,343.0
3603668,3603543,3603543,343.0,343.0
3603669,3603543,3603543,343.0,343.0
3603670,3603543,3603543,343.0,343.0
3603672,3603543,3603543,352.0,352.0
3603673,3603543,3603543,352.0,352.0
3603674,5300584,5300584,27.333,17.333
3603674,7200645,3603543,41.282,19.031
3603674,5300584,3604684,27.333,17.167
3603674,7200645,7200645,41.282,15.084
3603674,7200645,3604684,41.282,17.167
3603675,5300584,5300584,27.333,17.333
3603675,7200645,3603543,41.282,19.031
3603675,5300584,3604684,27.333,17.167
3603675,7200645,7200645,41.282,15.084
3603675,7200645,3604684,41.282,17.167
3603678,3603543,3603543,352.0,352.0
3603679,3603543,3603543,352.0,352.0
3603680,3603543,3603543,352.0,352.0
3603683,3603543,3603543,352.0,352.0
3603684,3603543,3603543,352.0,352.0
3603685,3603543,3603543,352.0,352.0
3603686,3603543,3603543,352.0,352.0
3603688,3603543,3603543,352.0,352.0
3603690,3603543,3603543,352.0,352.0
3603691,3603543,3603543,352.0,352.0
3603692,3603543,3603543,343.0,343.0
3603693,3603543,3603543,352.0,352.0
3603694,3603543,3603543,695.0,695.0
3603698,3603543,3603543,352.0,352.0
3603699,3603543,3603543,352.0,352.0
3603700,3603543,3603543,352.0,352.0
3603701,3603543,3603543,352.0,352.0
3604512,3603543,3603543,343.0,343.0
3604683,3603543,3603543,343.0,343.0
3604684,3603543,3603543,343.0,343.0
3604687,3603543,3603543,343.0,343.0
3604688,3603543,3603543,343.0,343.0
3604690,3603543,3603543,343.0,343.0
3604692,3603543,3603543,343.0,343.0
3604696,3603543,3603543,343.0,343.0
3604699,3603543,3603543,343.0,343.0
3604923,3603543,3603543,686.0,686.0
3607293,3603543,3603543,352.0,352.0
3700560,5300584,5300584,17.333,17.333
3700613,5300584,5300584,27.333,17.333
3700613,7200645,3603543,41.282,19.031
3700613,5300584,3604684,27.333,17.167
3700613,7200645,7200645,41.282,15.084
3700613,7200645,3604684,41.282,17.167
3700642,5300584,5300584,17.333,17.333
3700658,5300584,5300584,17.333,17.333
3700682,5300584,5300584,17.333,17.333
3700683,5300584,5300584,27.333,17.333
3700683,7200645,3603543,41.282,19.031
3700683,5300584,3604684,27.333,17.167
3700683,7200645,7200645,41.282,15.084
3700683,7200645,3604684,41.282,17.167
3700684,5300584,5300584,27.333,17.333
3700684,7200645,3603543,41.282,19.031
3700684,5300584,3604684,27.333,17.167
3700684,7200645,7200645,41.282,15.084
3700684,7200645,3604684,41.282,17.167
3700694,5300584,5300584,17.333,17.333
3700708,5300584,5300584,27.333,17.333
3700708,7200645,3603543,41.282,19.031
3700708,5300584,3604684,27.333,17.167
3700708,7200645,7200645,41.282,15.084
3700708,7200645,3604684,41.282,17.167
3700711,5300584,5300584,17.333,17.333
3700835,5300584,5300584,27.333,17.333
3700835,7200645,3603543,41.282,19.031
3700835,5300584,3604684,27.333,17.167
3700835,7200645,7200645,41.282,15.084
3700835,7200645,3604684,41.282,17.167
3700848,5300584,5300584,44.666,34.666
3700848,7200645,3603543,41.282,19.031
