analysisWdid,locationWdid,priorityWdid,sum_wtd_count,priority_sum_wtd_count
3600645,5300584,5300584,124.0,124.0
3600649,5300584,5300584,186.666,186.666
3600649,3600881,3600881,61.334,61.334
3600660,5300584,5300584,93.333,93.333
3600662,5300584,5300584,124.0,124.0
3600671,5300584,5300584,212.655,212.655
3600671,3600881,3600881,61.334,61.334
3600687,5300584,5300584,93.333,93.333
3600687,3600881,3600881,30.667,30.667
3600709,5300584,3704516,401.978,3.989
3600709,5300584,5300584,401.978,397.989
3600734,5300584,5300584,93.333,93.333
3600734,3600881,3600881,30.667,30.667
3600775,5300584,3604512,175.978,22.0
3600775,5300584,3704516,175.978,3.989
3600775,5300584,5300584,175.978,149.989
3600776,5300584,3604512,175.978,22.0
3600776,5300584,3704516,175.978,3.989
3600776,5300584,5300584,175.978,149.989
3600780,5300584,5300584,119.322,119.322
3600780,3600881,3600881,30.667,30.667
3600796,5300584,5300584,93.333,93.333
3600796,3600881,3600881,30.667,30.667
3600803,5300584,5300584,124.0,124.0
3600830,5300584,5300584,93.333,93.333
3600830,3600881,3600881,30.667,30.667
3600912,5300584,5300584,93.333,93.333
3600985,5300584,3704516,153.978,3.989
3600985,5300584,5300584,153.978,149.989
3601018,5300584,5300584,124.0,124.0
3601044,5300584,3704516,123.311,3.989
3601044,5300584,5300584,123.311,119.322
3601044,3600881,3600881,30.667,30.667
3601051,5300584,5300584,93.333,93.333
3601052,5300584,5300584,93.333,93.333
3601058,5300584,5300584,119.322,119.322
3601058,3600881,3600881,30.667,30.667
3601085,5300584,3704516,123.311,3.989
3601085,5300584,5300584,123.311,119.322
3601085,3600881,3600881,30.667,30.667
3601100,5300584,3704516,123.311,3.989
3601100,5300584,5300584,123.311,119.322
3601100,3600881,3600881,30.667,30.667
3602030,5300584,3704516,123.311,3.989
3602030,5300584,5300584,123.311,119.322
3602030,3600881,3600881,30.667,30.667
3602033,5300584,3704516,123.311,3.989
3602033,5300584,5300584,123.311,119.322
3602033,3600881,3600881,30.667,30.667
3602037,5300584,3704516,123.311,3.989
3602037,5300584,5300584,123.311,119.322
3602037,3600881,3600881,30.667,30.667
3602043,5300584,3604512,145.311,22.0
3602043,5300584,3704516,145.311,3.989
3602043,5300584,5300584,145.311,119.322
3602043,3600881,3600881,30.667,30.667
3602044,5300584,3604512,145.311,22.0
3602044,5300584,3704516,145.311,3.989
3602044,5300584,5300584,145.311,119.322
3602044,3600881,3600881,30.667,30.667
3602045,5300584,3604512,145.311,22.0
3602045,5300584,3704516,145.311,3.989
3602045,5300584,5300584,145.311,119.322
3602045,3600881,3600881,30.667,30.667
3602046,5300584,3604512,145.311,22.0
3602046,5300584,3704516,145.311,3.989
3602046,5300584,5300584,145.311,119.322
3602046,3600881,3600881,30.667,30.667
3602047,5300584,3604512,145.311,22.0
3602047,5300584,3704516,145.311,3.989
3602047,5300584,5300584,145.311,119.322
3602047,3600881,3600881,30.667,30.667
3602048,5300584,3604512,145.311,22.0
3602048,5300584,3704516,145.311,3.989
3602048,5300584,5300584,145.311,119.322
3602048,3600881,3600881,30.667,30.667
3602049,5300584,3604512,175.978,22.0
3602049,5300584,3704516,175.978,3.989
3602049,5300584,5300584,175.978,149.989
3603533,5300584,5300584,93.333,93.333
3603533,3600881,3600881,30.667,30.667
3603534,5300584,5300584,93.333,93.333
3603534,3600881,3600881,30.667,30.667
3603537,5300584,5300584,149.989,149.989
3603538,5300584,5300584,93.333,93.333
3603539,5300584,3604512,145.311,22.0
3603539,5300584,3704516,145.311,3.989
3603539,5300584,5300584,145.311,119.322
3603539,3600881,3600881,30.667,30.667
3603542,5300584,3704516,123.311,3.989
3603542,5300584,5300584,123.311,119.322
3603542,3600881,3600881,30.667,30.667
3603543,5300584,3704516,216.644,3.989
3603543,5300584,5300584,216.644,212.655
3603543,3600881,3600881,30.667,30.667
3603544,5300584,5300584,149.989,149.989
3603545,5300584,5300584,149.989,149.989
3603548,5300584,5300584,248.0,248.0
3603549,5300584,5300584,149.989,149.989
3603555,5300584,3704516,123.311,3.989
3603555,5300584,5300584,123.311,119.322
3603555,3600881,3600881,30.667,30.667
3603565,5300584,5300584,93.333,93.333
3603565,3600881,3600881,30.667,30.667
3603569,5300584,5300584,119.322,119.322
3603569,3600881,3600881,30.667,30.667
3603570,5300584,5300584,119.322,119.322
3603570,3600881,3600881,30.667,30.667
3603571,5300584,5300584,149.989,149.989
3603573,5300584,3704516,123.311,3.989
3603573,5300584,5300584,123.311,119.322
3603573,3600881,3600881,30.667,30.667
3603574,5300584,3704516,123.311,3.989
3603574,5300584,5300584,123.311,119.322
3603574,3600881,3600881,30.667,30.667
3603575,5300584,3604512,413.933,44.0
3603575,5300584,3704516,413.933,11.966999999999999
3603575,5300584,5300584,413.933,357.966
3603575,3600881,3600881,92.001,92.001
3603578,5300584,3704516,153.978,3.989
3603578,5300584,5300584,153.978,149.989
3603579,5300584,3704516,153.978,3.989
3603579,5300584,5300584,153.978,149.989
3603580,5300584,3704516,153.978,3.989
3603580,5300584,5300584,153.978,149.989
3603581,5300584,3704516,153.978,3.989
3603581,5300584,5300584,153.978,149.989
3603582,5300584,3704516,153.978,3.989
3603582,5300584,5300584,153.978,149.989
3603583,5300584,3604512,268.622,22.0
3603583,5300584,3704516,268.622,7.978
3603583,5300584,5300584,268.622,238.644
3603583,3600881,3600881,61.334,61.334
3603584,5300584,3704516,123.311,3.989
3603584,5300584,5300584,123.311,119.322
3603584,3600881,3600881,30.667,30.667
3603585,5300584,3704516,123.311,3.989
3603585,5300584,5300584,123.311,119.322
3603585,3600881,3600881,30.667,30.667
3603586,5300584,3704516,123.311,3.989
3603586,5300584,5300584,123.311,119.322
3603586,3600881,3600881,30.667,30.667
3603587,5300584,3704516,123.311,3.989
3603587,5300584,5300584,123.311,119.322
3603587,3600881,3600881,30.667,30.667
3603588,5300584,3704516,123.311,3.989
3603588,5300584,5300584,123.311,119.322
3603588,3600881,3600881,30.667,30.667
3603589,5300584,3704516,123.311,3.989
3603589,5300584,5300584,123.311,119.322
3603589,3600881,3600881,30.667,30.667
3603591,5300584,3704516,123.311,3.989
3603591,5300584,5300584,123.311,119.322
3603591,3600881,3600881,30.667,30.667
3603592,5300584,3704516,123.311,3.989
